proj_code,country,via,inco,ship_mode,prod_grp,sub_class,vendor,brand,dosage,dosage_form,per_pack_qty,line_qty,line_value,pack_price,unit_price,manu_site,first_line,weight,freight,insurance,delay,total_cost,quote_year,quote_month,quote_day,po_year,po_month,po_day,sch_del_year,sch_del_month,sch_del_day,actual_del_year,actual_del_month,actual_del_day
110-ZM-T01,Zambia,Direct Drop,CIP,Air,ARV,Adult,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),Aluvia,200/50mg,Tablet,120,2800,115080.0,41.1,0.34,ABBVIE Ludwigshafen Germany,Yes,643.0,0.0,172.89,0,115252.89,2006,8,28,2006,12,1,2007,2,16,2007,2,16
110-ZM-T01,Zambia,Direct Drop,EXW,Air,HRDT,HIV test,"Trinity Biotech, Plc",Uni-Gold,300mg,Test kit,20,2500,100000.0,40.0,2.0,"Trinity Biotech, Plc",Yes,853.0,13569.49,150.23,0,113719.72,2006,7,20,2006,9,24,2007,1,8,2007,1,8
102-NG-T01,Nigeria,Direct Drop,EXW,Air,HRDT,HIV test,EY Laboratories,InstantCHEK,300mg,Test kit,100,10,850.0,85.0,0.85,"EY Laboratories, USA",Yes,4516.521007400334,10900.58231496884,1.28,0,11751.862314968841,2006,7,22,2006,9,26,2007,1,10,2007,1,10
107-RW-T01,Rwanda,Direct Drop,EXW,Air,ARV,Adult,CIPLA LIMITED,Generic,150/300mg,Tablet - FDC,60,10000,99800.0,9.98,0.17,"Cipla, Goa, India",Yes,7416.0,64179.42,149.93,0,164129.34999999998,2006,9,8,2006,12,22,2007,2,27,2007,2,27
106-HT-T01,Haiti,Direct Drop,EXW,Air,HRDT,HIV test,Abbott GmbH & Co. KG,Determine,300mg,Test kit,100,750,60000.0,80.0,0.8,ABBVIE GmbH & Co.KG Wiesbaden,Yes,256.0,1760.32,90.14,0,61850.46,2006,7,30,2006,10,4,2007,1,18,2007,1,18
113-ZW-T01,Zimbabwe,Direct Drop,CIP,Air,ARV,Pediatric,BRISTOL-MYERS SQUIBB,Videx,200mg,Tablet,60,579,14764.5,25.5,0.42,"BMS Meymac, France",Yes,4516.521007400334,0.0,22.18,0,14786.68,2006,9,28,2007,1,10,2007,3,19,2007,3,19
107-RW-T01,Rwanda,Direct Drop,EXW,Air,HRDT,HIV test,Premier Medical Corporation Ltd.,First Response,300mg,Test kit,30,2000,33000.0,16.5,0.55,Premier Med. Corp Ltd. India,Yes,710.0,3120.7,49.58,0,36170.28,2006,10,8,2006,12,13,2007,3,29,2007,3,29
109-TZ-T01,Tanzania,Direct Drop,CIP,Air,ARV,Pediatric,BRISTOL-MYERS SQUIBB,Videx,2g,Powder for oral solution,200,712,8964.08,12.59,0.06,"BMS Meymac, France",Yes,162.0,912.96,13.47,0,9890.51,2006,12,16,2007,4,12,2007,6,6,2007,6,6
102-NG-T01,Nigeria,Direct Drop,EXW,Air,HRDT,HIV test,Abbott GmbH & Co. KG,Determine,300mg,Test kit,100,1000,80000.0,80.0,0.8,ABBVIE GmbH & Co.KG Wiesbaden,Yes,341.0,2682.47,128.0,0,82810.47,2006,12,29,2007,5,13,2007,6,19,2007,6,19
102-NG-T01,Nigeria,Direct Drop,EXW,Air,HRDT,HIV test,"CHEMBIO DIAGNOSTIC SYSTEMS, INC.",Stat-Pak,300mg,Test kit,20,7500,202500.0,27.0,1.35,Chembio Diagnostics Sys. Inc.,Yes,2278.0,15893.71,304.22,0,218697.93,2006,12,29,2007,5,17,2007,6,19,2007,6,19
104-CI-T01,Côte d'Ivoire,Direct Drop,CIP,Air,ARV,Pediatric,BRISTOL-MYERS SQUIBB,Videx,200mg,Tablet,60,5513,140581.5,25.5,0.42,"BMS Meymac, France",Yes,2126.0,0.0,224.93,0,140806.43,2007,4,13,2007,7,13,2007,10,2,2007,10,2
108-VN-T01,Vietnam,Direct Drop,EXW,Air,ARV,Pediatric,Aurobindo Pharma Limited,Generic,10mg/ml,Oral suspension,240,1000,1920.0,1.92,0.01,"Aurobindo Unit III, India",Yes,941.0,4193.49,3.07,0,6116.5599999999995,2007,4,26,2007,7,4,2007,10,15,2007,10,15
108-VN-T01,Vietnam,Direct Drop,FCA,Air,ARV,Adult,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),Aluvia,200/50mg,Tablet,120,500,41095.0,82.19,0.68,ABBVIE Ludwigshafen Germany,Yes,117.0,1767.38,65.75,0,42928.13,2007,3,8,2007,7,4,2007,8,27,2007,8,27
100-HT-T01,Haiti,Direct Drop,EXW,Air,HRDT,HIV test,"Orgenics, Ltd",Determine,300mg,Test kit,100,750,53992.5,71.99,0.72,Inverness Japan,Yes,171.0,3518.38,86.39,8,57597.27,2007,2,22,2007,7,26,2007,8,13,2007,8,21
100-HT-T01,Haiti,Direct Drop,EXW,Air,HRDT,HIV test,Orasure Technologies Inc.,OraQuick,300mg,Test kit,100,25,8750.0,350.0,3.5,"Pacific Biotech, Thailand",Yes,60.0,3097.85,14.0,0,11861.85,2007,3,6,2007,7,26,2007,8,25,2007,8,25
109-TZ-T01,Tanzania,Direct Drop,EXW,Air,HRDT,HIV test,"Standard Diagnostics, Inc.",Bioline,300mg,Test kit,25,10000,200000.0,20.0,0.8,"Standard Diagnostics, Korea",Yes,3335.0,27869.74,320.0,0,228189.74,2007,4,27,2007,7,2,2007,10,16,2007,10,16
109-TZ-T01,Tanzania,Direct Drop,EXW,Air,HRDT,HIV test,"Standard Diagnostics, Inc.",Bioline,300mg,Test kit,25,10000,200000.0,20.0,0.8,"Standard Diagnostics, Korea",Yes,3335.0,28461.1,320.0,0,228781.1,2007,6,3,2007,8,8,2007,11,22,2007,11,22
109-TZ-T01,Tanzania,Direct Drop,EXW,Air,HRDT,HIV test,"Standard Diagnostics, Inc.",Bioline,300mg,Test kit,25,10000,200000.0,20.0,0.8,"Standard Diagnostics, Korea",Yes,3335.0,28359.8,320.0,0,228679.8,2007,6,3,2007,8,8,2007,11,22,2007,11,22
117-ET-T01,Ethiopia,Direct Drop,EXW,Air,ARV,Adult,Aurobindo Pharma Limited,Generic,30mg,Capsule,60,64000,99200.0,1.55,0.03,"Aurobindo Unit III, India",Yes,4228.0,12237.61,158.72,0,111596.33,2007,6,1,2007,10,3,2007,11,20,2007,11,20
102-NG-T01,Nigeria,Direct Drop,EXW,Air,HRDT,HIV test,"CHEMBIO DIAGNOSTIC SYSTEMS, INC.",Stat-Pak,300mg,Test kit,20,10000,270000.0,27.0,1.35,Chembio Diagnostics Sys. Inc.,Yes,3263.0,20885.78,432.0,0,291317.78,2007,4,14,2007,8,28,2007,10,3,2007,10,3
108-VN-T01,Vietnam,Direct Drop,EXW,Air,ARV,Adult,"GILEAD SCIENCES IRELAND, INC.",Viread,300mg,Tablet,30,1000,17000.0,17.0,0.57,Gilead(Nycomed) Oranienburg DE,Yes,76.0,2282.57,27.2,0,19309.77,2007,8,2,2007,11,19,2008,1,21,2008,1,21
108-VN-T01,Vietnam,Direct Drop,EXW,Air,ARV,Adult,SUN PHARMACEUTICAL INDUSTRIES LTD (RANBAXY LABORATORIES LIMITED),Generic,300mg,Tablet,60,400,3352.0,8.38,0.14,"Ranbaxy, Paonta Shahib, India",Yes,23.0,2149.05,5.36,0,5506.41,2007,8,2,2007,11,21,2008,1,21,2008,1,21
107-RW-T01,Rwanda,Direct Drop,EXW,Air,HRDT,HIV test - Ancillary,"Orgenics, Ltd",Generic,300mg,Test kit - Ancillary,100,1500,15.0,0.01,0.0,Inverness Japan,Yes,99.0,0.75,0.02,0,15.77,2007,8,12,2007,12,10,2008,1,31,2008,1,31
123-NG-T01,Nigeria,Direct Drop,EXW,Air,HRDT,HIV test - Ancillary,"Orgenics, Ltd",Generic,300mg,Test kit - Ancillary,100,650,6.5,0.01,0.0,Inverness Japan,Yes,4516.521007400334,10900.58231496884,0.01,0,10907.09231496884,2007,8,17,2007,10,22,2008,2,5,2008,2,5
125-HT-T01,Haiti,Direct Drop,EXW,Air,HRDT,HIV test,"Trinity Biotech, Plc",Capillus,300mg,Test kit,100,2,278.0,139.0,1.39,"Trinity Biotech, Plc",Yes,4516.521007400334,10900.58231496884,0.44,0,11179.02231496884,2007,8,30,2007,11,4,2008,2,18,2008,2,18
104-CI-T01,Côte d'Ivoire,Direct Drop,EXW,Air,HRDT,HIV test,BIO-RAD LABORATORIES (FRANCE),Genie,300mg,Test kit,40,476,36176.0,76.0,1.9,Bio-Rad Laboratories,Yes,509.0,5446.51,57.88,0,41680.39,2007,12,28,2008,2,27,2008,6,17,2008,6,17
104-CI-T01,Côte d'Ivoire,Direct Drop,EXW,Air,HRDT,HIV test,"Standard Diagnostics, Inc.",Bioline,300mg,Test kit,25,659,13180.0,20.0,0.8,"Standard Diagnostics, Korea",Yes,206.0,2656.12,25.83,0,15861.949999999999,2008,9,28,2008,3,3,2009,3,19,2009,3,19
102-GY-T01,Guyana,Direct Drop,EXW,Air,HRDT,HIV test - Ancillary,"Orgenics, Ltd",Generic,300mg,Test kit - Ancillary,100,240,2.4,0.01,0.0,Inverness Japan,Yes,4516.521007400334,10900.58231496884,0.0,-8,10902.98231496884,2007,10,20,2008,2,28,2008,4,9,2008,4,1
102-GY-T01,Guyana,Direct Drop,EXW,Air,HRDT,HIV test - Ancillary,"Orgenics, Ltd",Generic,300mg,Test kit - Ancillary,100,213,2.13,0.01,0.0,Inverness Japan,Yes,14.0,360.0,0.0,0,362.13,2008,2,7,2008,2,28,2008,7,28,2008,7,28
113-ZW-T01,Zimbabwe,Direct Drop,EXW,Air,HRDT,HIV test,"Orgenics, Ltd",Determine,300mg,Test kit,100,1634,117631.66,71.99,0.72,Inverness Japan,Yes,373.0,4112.46,188.21,0,121932.33000000002,2008,5,29,2008,3,17,2008,11,17,2008,11,17
123-NG-T01,Nigeria,Direct Drop,EXW,Air,HRDT,HIV test,"CHEMBIO DIAGNOSTIC SYSTEMS, INC.",Stat-Pak,300mg,Test kit,20,1425,38475.0,27.0,1.35,Chembio Diagnostics Sys. Inc.,Yes,483.0,5468.88,61.56,0,44005.439999999995,2007,10,28,2008,3,13,2008,4,17,2008,4,17
119-NA-T01,Namibia,Direct Drop,EXW,Air,HRDT,HIV test,"Orgenics, Ltd",Determine,300mg,Test kit,100,142,10222.58,71.99,0.72,Inverness Japan,Yes,33.0,1715.17,16.36,0,11954.11,2007,12,15,2008,3,18,2008,6,4,2008,6,4
108-VN-T01,Vietnam,Direct Drop,EXW,Air,ARV,Adult,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),Generic,600mg,Tablet,30,8400,96432.0,11.48,0.38,Mylan (formerly Matrix) Nashik,Yes,654.0,4051.34,154.29,0,100637.62999999999,2007,12,14,2008,3,31,2008,6,3,2008,6,3
116-ZA-T01,South Africa,Direct Drop,DDP,Truck,ARV,Adult,S. BUYS WHOLESALER,Invirase,200mg,Capsule,270,6,405.06,67.51,0.25,Roche Basel,Yes,4516.521007400334,0.0,0.65,0,405.71,2007,11,4,2008,2,20,2008,4,24,2008,4,24
116-ZA-T01,South Africa,Direct Drop,DDP,Truck,ARV,Pediatric,S. BUYS WHOLESALER,Zerit,1mg/ml,Powder for oral solution,200,600,870.0,1.45,0.01,"BMS Meymac, France",No,4516.521007400334,0.0,1.39,0,871.39,2007,11,4,2008,2,20,2008,4,24,2008,4,24
108-VN-T01,Vietnam,Direct Drop,CIP,Air,ARV,Pediatric,BRISTOL-MYERS SQUIBB,Videx,25mg,Chewable/dispersible tablet,60,400,2800.0,7.0,0.12,"BMS Meymac, France",Yes,81.0,2211.05,4.48,0,5015.53,2008,1,22,2008,3,31,2008,7,12,2008,7,12
102-NG-T01,Nigeria,Direct Drop,EXW,Air,HRDT,HIV test,"Orgenics, Ltd",Determine,300mg,Test kit,100,5498,439785.02,79.99,0.8,Inverness Japan,Yes,1251.0,16090.22,703.66,0,456578.89999999997,2008,1,19,2008,3,25,2008,7,9,2008,7,9
102-NG-T01,Nigeria,Direct Drop,EXW,Air,HRDT,HIV test - Ancillary,"Orgenics, Ltd",Generic,300mg,Test kit - Ancillary,100,5498,54.98,0.01,0.0,Inverness Japan,Yes,4516.521007400334,10900.58231496884,0.09,-5,10955.65231496884,2008,1,19,2008,3,25,2008,7,9,2008,7,4
117-ET-T01,Ethiopia,Direct Drop,DDP,Air,HRDT,HIV test,TURE PHARMACEUTICALS & MEDICAL SUPPLIES P.L.C.,Uni-Gold,300mg,Test kit,20,15,691.42,46.09,2.3,"Trinity Biotech, Plc",Yes,4516.521007400334,0.0,1.11,0,692.53,2007,11,19,2008,1,24,2008,5,9,2008,5,9
108-VN-T01,Vietnam,Direct Drop,EXW,Air,ARV,Adult,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),Generic,300mg,Tablet,30,1344,18359.04,13.66,0.46,Mylan (formerly Matrix) Nashik,Yes,1537.0,13507.92,29.37,0,31896.329999999998,2008,3,31,2008,5,14,2008,9,19,2008,9,19
116-ZA-T01,South Africa,Direct Drop,DDP,Truck,ARV,Adult,S. BUYS WHOLESALER,Zerit,20mg,Capsule,60,20,103.4,5.17,0.09,"BMS Meymac, France",Yes,4516.521007400334,0.0,0.2,0,103.60000000000001,2008,3,1,2008,5,6,2008,8,20,2008,8,20
116-ZA-T01,South Africa,Direct Drop,DDP,Truck,ARV,Adult,S. BUYS WHOLESALER,Videx EC,250mg,Delayed-release capsules - blister,30,100,1906.0,19.06,0.64,"BMS Meymac, France",Yes,4516.521007400334,0.0,3.05,-104,1909.05,2008,3,1,2008,5,6,2008,8,20,2008,5,8
116-ZA-T01,South Africa,Direct Drop,DDP,Truck,ARV,Pediatric,S. BUYS WHOLESALER,Zerit,1mg/ml,Powder for oral solution,200,670,1025.1,1.53,0.01,"BMS Meymac, France",No,4516.521007400334,0.0,1.64,-104,1026.74,2008,3,1,2008,5,6,2008,8,20,2008,5,8
109-TZ-T01,Tanzania,Direct Drop,CIP,Air,ARV,Adult,BRISTOL-MYERS SQUIBB,Videx EC,400mg,Delayed-release capsules - blister,30,2597,61470.99,23.67,0.79,"BMS Meymac, France",Yes,117.0,645.1,98.35,0,62214.439999999995,2008,3,14,2008,5,15,2008,9,2,2008,9,2
106-HT-T01,Haiti,Direct Drop,EXW,Air,HRDT,HIV test,Orasure Technologies Inc.,OraQuick,300mg,Test kit,100,28,9800.0,350.0,3.5,"Pacific Biotech, Thailand",Yes,109.0,782.13,15.68,0,10597.81,2008,4,11,2008,5,20,2008,9,30,2008,9,30
106-HT-T01,Haiti,Direct Drop,EXW,Air,HRDT,HIV test,"Trinity Biotech, Plc",Capillus,300mg,Test kit,100,84,11676.0,139.0,1.39,"Trinity Biotech, Plc",Yes,54.0,871.57,22.88,0,12570.449999999999,2008,6,5,2008,5,23,2008,11,24,2008,11,24
116-ZA-T01,South Africa,Direct Drop,DDP,Truck,ARV,Adult,S. BUYS WHOLESALER,Ziagen,300mg,Tablet - blister,60,30,1049.4,34.98,0.58,GSK Ware (UK),Yes,4516.521007400334,0.0,1.68,-3,1051.0800000000002,2007,12,23,2008,2,27,2008,6,12,2008,6,9
108-VN-T01,Vietnam,Direct Drop,EXW,Air,ARV,Adult,Aurobindo Pharma Limited,Generic,150mg,Tablet,60,38640,92736.0,2.4,0.04,"Aurobindo Unit III, India",Yes,2719.0,18614.72,148.38,0,111499.1,2008,3,31,2008,7,1,2008,9,19,2008,9,19
112-NG-T01,Nigeria,Direct Drop,EXW,Air,ACT,ACT,IDA FOUNDATION,Coartem,20/120mg,Tablet - FDC + blister,540,34,1547.68,45.52,0.08,"Novartis Pharma AG, Switzerland",Yes,115.0,1755.87,2.48,-169,3306.03,2008,9,6,2008,7,2,2009,2,25,2008,9,9
108-VN-T01,Vietnam,Direct Drop,EXW,Air,ARV,Adult,Aurobindo Pharma Limited,Generic,30mg,Capsule,60,42000,60900.0,1.45,0.02,"Aurobindo Unit III, India",Yes,2600.0,10179.16,97.44,0,71176.6,2008,4,19,2008,7,3,2008,10,8,2008,10,8
116-ZA-T01,South Africa,Direct Drop,DDP,Truck,ARV,Pediatric,S. BUYS WHOLESALER,Viramune,10mg/ml,Oral suspension,240,50,696.5,13.93,0.06,"BI, Ingelheim, Germany",Yes,4516.521007400334,0.0,1.11,-2,697.61,2008,1,20,2008,3,26,2008,7,10,2008,7,8
108-VN-T01,Vietnam,Direct Drop,EXW,Air,ARV,Adult,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),Generic,600mg,Tablet,30,16800,171192.0,10.19,0.34,Mylan (formerly Matrix) Nashik,Yes,1224.0,4686.88,335.54,0,176214.42,2008,6,8,2008,7,24,2008,11,27,2008,11,27
102-GY-T01,Guyana,Direct Drop,CIP,Air,MRDT,Malaria,ZEPHYR BIOMEDICALS,Paramax,300mg,Test kit,25,98,3675.0,37.5,1.5,Not Applicable,Yes,34.0,180.0,5.88,0,3860.88,2008,2,25,2008,7,25,2008,8,15,2008,8,15
110-ZM-T01,Zambia,Direct Drop,EXW,Air,HRDT,HIV test,"Orgenics, Ltd",Determine,300mg,Test kit,100,4500,323955.0,71.99,0.72,Inverness Japan,Yes,1053.0,11062.05,634.95,0,335652.0,2008,5,1,2008,7,31,2008,10,20,2008,10,20
119-NA-T01,Namibia,Direct Drop,EXW,Air,HRDT,HIV test,"Trinity Biotech, Plc",Uni-Gold,300mg,Test kit,20,10,320.0,32.0,1.6,"Trinity Biotech, Plc",Yes,4516.521007400334,10900.58231496884,0.51,0,11221.09231496884,2008,3,30,2008,8,26,2008,9,18,2008,9,18
104-CI-T01,Côte d'Ivoire,Direct Drop,EXW,Air,HRDT,HIV test,BIO-RAD LABORATORIES (FRANCE),Genie,300mg,Test kit,40,500,38000.0,76.0,1.9,Bio-Rad Laboratories,Yes,562.0,11298.13,60.8,0,49358.93,2008,4,13,2008,8,27,2008,10,2,2008,10,2
104-CI-T01,Côte d'Ivoire,Direct Drop,EXW,Air,ACT,ACT,IDA FOUNDATION,Generic,50+153mg,Tablet - FDC + co-blister,12,25000,9750.0,0.39,0.03,Ipca Dadra/Nagar Haveli IN,Yes,1708.0,12830.91,19.11,0,22600.02,2008,8,4,2008,9,3,2009,1,23,2009,1,23
131-NG-T01,Nigeria,Direct Drop,CIP,Air,ARV,Adult,MERCK SHARP & DOHME IDEA GMBH (FORMALLY MERCK SHARP & DOHME B.V.),Atripla,600/200/300mg,Tablet - FDC,30,9,453.6,50.4,1.68,"MSD, Haarlem, NL",Yes,4516.521007400334,0.0,0.89,29,454.49,2008,9,19,2009,3,6,2009,3,10,2009,4,8
119-NA-T01,Namibia,Direct Drop,EXW,Air,HRDT,HIV test,"Orgenics, Ltd",Determine,300mg,Test kit,100,150,10798.5,71.99,0.72,Inverness Japan,Yes,46.0,2698.04,21.17,0,13517.710000000001,2008,5,10,2008,9,24,2008,10,29,2008,10,29
102-BW-T01,Botswana,Direct Drop,EXW,Air,HRDT,HIV test - Ancillary,"Trinity Biotech, Plc",Uni-Gold,300mg,Test kit - Ancillary,2,15,450.0,30.0,15.0,"Trinity Biotech, Plc",Yes,1.0,578.01,0.88,0,1028.89,2008,6,9,2008,10,2,2008,11,28,2008,11,28
110-ZM-T01,Zambia,Direct Drop,EXW,Air,HRDT,HIV test,"Standard Diagnostics, Inc.",Bioline,300mg,Test kit,25,319,6380.0,20.0,0.8,"Standard Diagnostics, Korea",Yes,100.0,1122.24,12.5,0,7514.74,2008,8,4,2008,10,2,2009,1,23,2009,1,23
116-ZA-T01,South Africa,Direct Drop,DDP,Truck,ARV,Adult,S. BUYS WHOLESALER,Viread,300mg,Tablet,30,80,1830.4,22.88,0.76,"Aspen-OSD, Port Elizabeth, SA",Yes,4516.521007400334,0.0,3.59,-220,1833.99,2008,11,26,2009,1,31,2009,5,17,2008,10,9
116-ZA-T01,South Africa,Direct Drop,DDP,Truck,ARV,Adult,S. BUYS WHOLESALER,Viread,300mg,Tablet,30,120,2745.6,22.88,0.76,"Aspen-OSD, Port Elizabeth, SA",Yes,4516.521007400334,0.0,5.38,0,2750.98,2008,11,26,2009,1,31,2009,5,17,2009,5,17
116-ZA-T01,South Africa,Direct Drop,DDP,Truck,ARV,Pediatric,S. BUYS WHOLESALER,Zerit,1mg/ml,Powder for oral solution,200,600,858.0,1.43,0.01,"BMS Meymac, France",No,4516.521007400334,0.0,1.68,-220,859.68,2008,11,26,2009,1,31,2009,5,17,2008,10,9
116-ZA-T01,South Africa,Direct Drop,DDP,Truck,ARV,Pediatric,S. BUYS WHOLESALER,Videx,100mg,Chewable/dispersible tablet,60,7,91.35,13.05,0.22,"BMS Meymac, France",No,4516.521007400334,0.0,0.18,-220,91.53,2008,11,26,2009,1,31,2009,5,17,2008,10,9
116-ZA-T01,South Africa,Direct Drop,DDP,Truck,ARV,Pediatric,S. BUYS WHOLESALER,Kaletra,80/20mg/ml,Oral solution,300,40,1375.6,34.39,0.11,ABBVIE (Abbott) Logis. UK,No,4516.521007400334,0.0,2.7,-220,1378.3,2008,11,26,2009,1,31,2009,5,17,2008,10,9
102-GY-T01,Guyana,Direct Drop,CIP,Air,MRDT,Malaria,ZEPHYR BIOMEDICALS,Paramax,300mg,Test kit,25,108,4050.0,37.5,1.5,Not Applicable,Yes,4516.521007400334,0.0,7.94,0,4057.94,2008,8,18,2008,11,19,2009,2,6,2009,2,6
109-TZ-T01,Tanzania,Direct Drop,CIP,Air,ARV,Adult,MERCK SHARP & DOHME IDEA GMBH (FORMALLY MERCK SHARP & DOHME B.V.),Atripla,600/200/300mg,Tablet - FDC,30,50000,2520000.0,50.4,1.68,"MSD, Haarlem, NL",Yes,4093.0,9339.0,4939.2,0,2534278.2,2008,10,31,2008,12,19,2009,4,21,2009,4,21
104-CI-T01,Côte d'Ivoire,Direct Drop,EXW,Air,ANTM,Malaria,IDA FOUNDATION,Generic,600mg/2ml,Injection,100,140,2731.4,19.51,0.2,Gland Pharma Ltd Pally Factory,Yes,5209.0,25405.22,5.35,0,28141.97,2008,9,11,2008,12,19,2009,3,2,2009,3,2
111-MZ-T01,Mozambique,Direct Drop,EXW,Air,HRDT,HIV test,"Trinity Biotech, Plc",Uni-Gold,300mg,Test kit,20,5700,182400.0,32.0,1.6,"Trinity Biotech, Plc",Yes,1906.0,23914.8,357.5,0,206672.3,2008,10,2,2009,1,5,2009,3,23,2009,3,23
108-VN-T01,Vietnam,Direct Drop,EXW,Air,ARV,Adult,Aurobindo Pharma Limited,Generic,150/300mg,Tablet - FDC,60,5964,51350.04,8.61,0.14,"Aurobindo Unit III, India",Yes,3509.0,12835.2,100.65,0,64285.89000000001,2008,10,20,2009,1,16,2009,4,10,2009,4,10
108-VN-T01,Vietnam,Direct Drop,EXW,Air,ARV,Adult,Aurobindo Pharma Limited,Generic,150mg,Tablet,60,21000,50400.0,2.4,0.04,"Aurobindo Unit III, India",No,3509.0,12835.2,98.78,0,63333.979999999996,2008,10,20,2009,1,16,2009,4,10,2009,4,10
108-VN-T01,Vietnam,Direct Drop,EXW,Air,ARV,Adult,CIPLA LIMITED,Generic,150/200/30mg,Tablet - FDC,60,10560,72864.0,6.9,0.12,"Cipla, Goa, India",Yes,924.0,4225.93,142.81,0,77232.73999999999,2008,10,2,2009,1,16,2009,3,23,2009,3,23
108-VN-T01,Vietnam,Direct Drop,EXW,Air,ARV,Adult,Aurobindo Pharma Limited,Generic,150/300mg,Tablet - FDC,60,2352,20250.72,8.61,0.14,"Aurobindo Unit III, India",Yes,211.0,892.5,39.69,0,21182.91,2008,9,25,2008,10,21,2009,3,16,2009,3,16
109-TZ-T01,Tanzania,Direct Drop,FCA,Air,ARV,Pediatric,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),Kaletra,80/20mg/ml,Oral solution,300,524,21536.4,41.1,0.14,ABBVIE (Abbott) Logis. UK,Yes,644.0,6668.61,42.21,0,28247.22,2008,12,7,2009,2,5,2009,5,28,2009,5,28
